Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
1991-06,65,9.9,4.7,29.1,57.1,40.5,0,6.6,5.2,0,3.2,0,40.2,0,18.4,10.1,6.5,11.6,0,0,0,24.7,27.2,19.3,21.6,4.7,12,0,5.5,0.6,,,,,,,
1991-07,0.6,0,0,0,0,0,0,0.7,20.4,11.2,5.4,7.9,5.9,0,0,0,5.7,4.1,10.1,3.7,1.4,0.4,0,0,0,0,4.3,10.6,2.8,17.1,22.8,,,,,,
1991-08,0,0.1,0.4,1.1,0,0,0,0,0,0.1,0,0,1.6,27.5,30,12.8,1.2,5.6,0,2,0,1.6,0.2,1.8,16,2.8,4.9,44.9,13.5,6.5,5.2,,,,,,
1991-09,0,0.1,4.4,0,0,0,0.2,0,0,0,0,0,0.8,0,0,0,0.1,13,0,0.1,0,0,0,0,0,0,0.1,0,0,0,,,,,,,
1991-10,0,9.9,5.1,1.6,0,0,0,0,0,0,0.1,5,1.5,2.2,0,0,0,0,59.9,27.8,8.2,0.2,27.6,13.8,22,1.5,7.1,1.6,12.8,30,0,,,,,,
1991-11,1.5,0,0,0,1.9,0,25.1,0,16.3,4.2,4,27.1,0,0,0,7.7,0,0,0,0,0,72.1,34.2,0,12.5,0,0,0,0.6,3.7,,,,,,,
1991-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,23.5,19.9,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0,,,,,,
1992-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1992-02,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,,,,,,,,
1992-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1992-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,8,0,0,10.3,21,9.9,14.4,0,0,0,,,,,,,
1992-05,0,0,0,0,1.1,44.4,22.5,0,0.1,0,0,0,9.6,0,0,18.7,34.7,8.1,0,7.8,0,0,0,0,0,0,0,0.9,0,20.1,13.5,,,,,,
1992-06,3.2,33.9,12.8,0.5,6.7,32.1,12.5,0,60.9,3.6,21,26.9,24.1,1.1,4,0,2.8,0,0,1.4,3,1.3,5.7,0,0,0,0,0,1.9,9,,,,,,,
1992-07,0.6,26,2.4,65,29.6,0.4,22.2,2.2,0.4,32.4,44,4,16.9,14.7,46,3.1,7.7,48.1,14.3,1.1,0.1,1.4,4,0.3,33.9,20.7,8.7,9.8,7.2,3.9,25.9,,,,,,
1992-08,23.6,41.6,26.2,18.1,2.6,56.8,61.1,19.3,14.2,0,0,2,0,0.5,0,2.1,0,0,0,0.2,0,0.6,23.1,2.2,0,0,0,0,2.3,0,8.9,,,,,,
1992-09,17.6,2.5,0.2,0.3,0,0,0,0,0,0.4,0,2.8,0,0,0,0,0.7,0,0,0,0,0,0,5.9,2.3,6.7,0,0,4.2,28.2,,,,,,,
1992-10,25.3,37.4,0.4,0.3,0.8,3.5,1.7,0,1.9,0.1,5.6,28.3,1.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1992-11,0,0,0,0,0.4,3.3,36,2.4,2.4,0,0,2.3,13.6,0,0.3,0,0,0,9.6,0,0,0,0.1,3,0,0,0.3,0,2.3,0.9,,,,,,,
1992-12,41.3,47.2,8.2,6.2,0,0,0,0,0,0,0,0,0,0,11.7,0.5,12.6,1.9,1.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1993-01,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,1.1,0,0,0,0,0,,,,,,
1993-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1993-03,0.4,0,0.5,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.8,0,0,0,0,0,0,0,0,0,,,,,,
1993-04,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,24.3,0.1,49.6,0,0,,,,,,,
1993-05,0,0,0,0,0.2,2.5,0,0,0,0,0,0,11.2,0,0,45.8,5.4,11.4,0,5,4,16.2,0,4.7,39.2,68,14.2,23.5,4.9,1.6,9.4,,,,,,
1993-06,5.8,5.4,30.9,11.6,62.5,0.8,4.2,7.1,5.2,0,0,0,1.2,0,0,0,1.3,0,4.8,0.1,5.2,0.5,0.4,16.5,41.9,53.8,15,13.7,50.6,5.2,,,,,,,
1993-07,32,45.7,6.6,0.1,0,0,0,7.6,0,0,8.9,3.2,1.8,19.7,18.4,0.8,34.4,12.8,70.8,6.8,21.1,1.7,45.6,14,6.6,0.6,5.4,0,0,0,0,,,,,,
1993-08,0,2.2,0.3,2.1,52.6,6,0.1,0,0,0,0,43.2,6.8,0,0,1.8,0,0,0,0,0,0,0,0,0,13,39.1,32.5,25.5,32.2,5.9,,,,,,
1993-09,0.2,0,16.9,0,1.2,0.1,0,0,2,0,2.7,3.1,1.6,3.8,0,0,11,0,6,6.2,0,0,0,0,1.4,0.8,5.7,52.7,17.4,0,,,,,,,
1993-10,0,1.9,9.8,0,0,0,1.7,1.6,0,0.2,0,0,0,2.6,0.5,0,59.8,0,2.6,0.3,4,4.4,0,0,0,0,0,0,0,0,8.8,,,,,,
1993-11,13.4,2,34.2,86.7,49.4,135.6,101.8,5.5,13.3,13.2,9.2,0,0,0,0,0,0,9,63,0.3,0,0,1.2,0.4,7.3,30,0,0,0,0,,,,,,,
1993-12,0.2,0,0.3,0,0,0,0,0,4.6,0,0,0,0,0,0,0,9,7.1,0,0,0,1.1,0,0,56.4,0.4,0,0.3,0,1,0,,,,,,
1994-01,0,0,0.2,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,,,,,,
1994-02,0,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0.1,0,30.4,0,0,0,0,0,0,0,0,0,,,,,,,,,
1994-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,18.4,32.6,0,0,0,0,0,0,0,0,0,0,0.4,0,0,,,,,,
1994-04,0,0,0,0,1,28.3,0.2,1.4,34.4,0.3,0,0,0,0,26,0.4,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1994-05,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,2,0,5,0,21.4,39,7,0.6,6,11.4,1.4,85.2,90.7,7,11.7,26,,,,,,
1994-06,4.1,0,10.2,9.1,31.2,45,4.7,0,7.8,0,0,6.8,1.4,3.2,3.6,9.3,5.6,10.7,0.8,0,0,0,0,11.4,0.8,3.9,0,7.1,0,0,,,,,,,
1994-07,0,5.4,5.7,12,3.7,0,0,0,19.4,0,0,3.9,0,0,54,56.8,0.6,0,0,12.9,0,7.6,4.9,0,0,0.3,20.3,52.7,18.2,7.6,53.1,,,,,,
1994-08,79.2,5,7.4,2.1,24.1,4.4,0.2,0,0,0,0,0,0,0,0,0.5,0,1.4,0,5.9,1.6,47.5,8.8,0.2,0,0,4.2,0,0,0,4.8,,,,,,
1994-09,1.1,6.7,0,1.2,34.1,7.9,1.6,10.6,0,0,0,0.2,0,0.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
1994-10,4.6,44.6,5.9,37.2,4.6,19.9,0,2.1,0,0,0,0.1,0.1,9.1,0,12.1,51.2,4.4,12.6,0,24.2,0,7.2,17,7,5.4,10.3,3.4,16.1,74.2,0.1,,,,,,
1994-11,39.2,89.3,3,0.1,4.1,3.9,23.7,50.2,8.2,21.3,41.9,1.6,58.2,0.1,15.9,0,2.8,4.6,0,0,0,4.6,0,0,0,0,0,0,0,0,,,,,,,
